file,invoice_number,vendor,total,currency,decision,payment_status,flags,error
invoice_1001.txt,INV-1001,Widgets Inc.,5000.0,USD,hold,skipped,Verify this is not a duplicate payment,
invoice_1002.txt,1002,Gadgets Co.,15000.0,USD,hold,skipped,Additional VP scrutiny required for high-value invoice; Contact vendor to resolve stock discrepancies; Verify this is not a duplicate payment,
invoice_1003.txt,INV-1003,Fraudster Llc,100000.0,USD,rejected,skipped,Escalate to fraud investigation team,
invoice_1004.json,INV-1004,Precision Parts Ltd.,1890.0,USD,hold,skipped,Verify this is not a duplicate payment,
invoice_1004_revised.json,INV-1004,Precision Parts Ltd.,5940.0,USD,hold,skipped,Verify this is not a duplicate payment,
invoice_1005.json,INV-1005,Global Supply Chain Partners,15225.0,USD,hold,skipped,Additional VP scrutiny required for high-value invoice; Contact vendor to resolve stock discrepancies; Verify this is not a duplicate payment,
invoice_1006.csv,INV-1006,Acme Industrial Supplies,0.0,USD,hold,skipped,Verify this is not a duplicate payment,
invoice_1007.csv,INV-1007,MegaWidgets Corp,0.0,USD,hold,skipped,Contact vendor to resolve stock discrepancies; Verify this is not a duplicate payment,
invoice_1008.txt,unknown,Noprod Industries,9900.0,USD,hold,skipped,"Verify items SuperGizmo, MegaSprocket with procurement team; Request corrected invoice from vendor; Vendor onboarding and verification required; Verify this is not a duplicate payment",
invoice_1009.json,INV-1009,Unknown Vendor,-250.0,USD,rejected,skipped,Vendor must issue corrected invoice,
invoice_1010.txt,unknown,Consolidated Materials Group,6700.0,USD,hold,skipped,Request corrected invoice from vendor; Verify this is not a duplicate payment,
invoice_1011.pdf,INV-1011,Summit Manufacturing Co.,3000.0,USD,hold,skipped,Verify this is not a duplicate payment,
invoice_1011.txt,INV-1011,Summit Manufacturing Co.,3000.0,USD,hold,skipped,Verify this is not a duplicate payment,
invoice_1012.pdf,INV,Quickship Distributers,9500.0,USD,hold,skipped,Vendor onboarding and verification required; Verify this is not a duplicate payment,
invoice_1012.txt,INV,Quickship Distributers,9500.0,USD,hold,skipped,Vendor onboarding and verification required; Verify this is not a duplicate payment,
invoice_1013.json,INV-1013,Atlas Industrial Supply,22562.8,USD,hold,skipped,Additional VP scrutiny required for high-value invoice; Contact vendor to resolve stock discrepancies; Verify this is not a duplicate payment,
invoice_1013.pdf,unknown,Atlas Industrial Supply         Due: 2026-03-24,21040.0,USD,hold,skipped,Additional VP scrutiny required for high-value invoice; Contact vendor to resolve stock discrepancies; Request corrected invoice from vendor; Vendor onboarding and verification required; Verify this is not a duplicate payment,
invoice_1014.xml,INV-1014,TechParts International,4125.0,EUR,hold,skipped,Route to treasury for foreign currency processing; Verify this is not a duplicate payment,
invoice_1015.csv,INV-1015,Reliable Components Inc.,0.0,USD,hold,skipped,Verify this is not a duplicate payment,
invoice_1016.json,INV-1016,Widgets Inc.,3233.0,USD,hold,skipped,Verify items WidgetC with procurement team; Verify this is not a duplicate payment,
